Date,Buy_Hold_Value,Account_Value,Percent_Buy_Hold,Percent_Account_Value
2012-11-02,14863.79979,15527.600342,-0.009080014,0.0351733561333
2012-11-05,14894.25063,15592.609658,-0.007049958,0.0395073105333
2012-11-06,15010.800735,15709.75,0.000720049,0.0473166666667
2012-11-07,14670.600105,15678.06,-0.021959993,0.045204
2012-11-08,14494.199265,15554.99,-0.033720049,0.0369993333333
2012-11-09,14506.80042,15674.08,-0.032879972,0.0449386666667
2012-11-12,14518.35042,15755.55,-0.032109972,0.05037
2012-11-13,14467.949265,15676.081558,-0.035470049,0.0450721038667
2012-11-14,14272.649265,15617.280342,-0.048490049,0.0411520228
2012-11-15,14248.499685,15390.710342,-0.050100021,0.0260473561333
2012-11-16,14318.849475,15389.410342,-0.045410035,0.0259606894667
2012-11-19,14608.650525,15460.050342,-0.026089965,0.0306700228
2012-11-20,14614.95021,15499.260342,-0.025669986,0.0332840228
2012-11-21,14642.249685,15642.030169,-0.023850021,0.0428020112667
2012-11-23,14841.75063,15906.250342,-0.010549958,0.0604166894667
2012-11-26,14810.250315,16202.670342,-0.012649979,0.0801780228
2012-11-27,14734.65021,16054.240342,-0.017689986,0.0702826894667
2012-11-28,14853.300735,16236.960169,-0.009779951,0.0824640112667
2012-11-29,14922.599475,16352.270169,-0.005160035,0.0901513446
2012-11-30,14925.74937,16430.010342,-0.004950042,0.0953340228
2012-12-03,14852.249685,16292.780342,-0.009850021,0.0861853561333
2012-12-04,14831.25,16570.930342,-0.01125,0.104728689467
2012-12-05,14857.5,16635.900342,-0.0095,0.1090600228
2012-12-06,14907.89958,16633.400342,-0.006140028,0.108893356133
2012-12-07,14953.05042,16633.400342,-0.003129972,0.108893356133
2012-12-10,14959.350105,16557.54008,-0.002709993,0.103836005333
2012-12-11,15061.20021,16586.360342,0.004080014,0.105757356133
2012-12-12,15068.549475,16588.980342,0.004569965,0.1059320228
2012-12-13,14976.150525,16573.260604,-0.001589965,0.104884040267
2012-12-14,14920.50063,16646.620342,-0.005299958,0.109774689467
2012-12-17,15095.85042,16722.600604,0.006390028,0.114840040267
2012-12-18,15263.849475,16730.46008,0.017589965,0.115364005333
2012-12-19,15150.449265,16749.240342,0.010029951,0.1166160228
2012-12-20,15237.599475,16836.020342,0.015839965,0.122401356133
2012-12-21,14992.949265,16701.760604,-0.000470049,0.113450706933
2012-12-24,14946.75063,16492.330604,-0.003549958,0.0994887069333
2012-12-26,14883.75,16462.980604,-0.00775,0.0975320402667
2012-12-27,14863.79979,16390.240604,-0.009080014,0.0926827069333
2012-12-28,14703.149895,16376.300604,-0.019790007,0.0917533736
2012-12-31,14953.05042,16412.770604,-0.003129972,0.0941847069333
2013-01-02,15336.29979,16610.340604,0.022419986,0.107356040267
2013-01-03,15301.64958,16455.960604,0.020109972,0.0970640402667
2013-01-04,15368.849475,16516.340604,0.024589965,0.1010893736
2013-01-07,15326.850105,16513.840604,0.021790007,0.100922706933
2013-01-08,15282.750315,16513.840604,0.018850021,0.100922706933
2013-01-09,15321.59979,16513.840604,0.021439986,0.100922706933
2013-01-10,15443.40021,16513.840604,0.029560014,0.100922706933
2013-01-11,15442.350735,16513.840604,0.029490049,0.100922706933
2013-01-14,15431.850105,16513.840604,0.028790007,0.100922706933
2013-01-15,15442.350735,16513.840604,0.029490049,0.100922706933
2013-01-16,15440.250315,16513.840604,0.029350021,0.100922706933
2013-01-17,15540.0,16513.840604,0.036,0.100922706933
2013-01-18,15574.65021,16513.840604,0.038310014,0.100922706933
2013-01-22,15658.650525,16513.840604,0.043910035,0.100922706933
2013-01-23,15683.849475,16513.840604,0.045589965,0.100922706933
2013-01-24,15688.05042,16647.590604,0.045870028,0.1098393736
2013-01-25,15776.25,16817.690336,0.05175,0.121179355733
2013-01-28,15757.350735,17020.510336,0.050490049,0.134700689067
2013-01-29,15819.30042,17022.500872,0.054620028,0.134833391467
2013-01-30,15757.350735,17354.690336,0.050490049,0.156979355733
2013-01-31,15718.499685,17551.590674,0.047899979,0.170106044933
2013-02-01,15880.200525,17903.580336,0.058680035,0.1935720224
2013-02-04,15701.699265,17466.710604,0.046779951,0.1644473736
2013-02-05,15860.250315,17715.200225,0.057350021,0.181013348333
2013-02-06,15871.80042,17727.560715,0.058120028,0.181837381
2013-02-07,15850.800735,17678.620872,0.056720049,0.1785747248
2013-02-08,15939.000315,17691.930802,0.062600021,0.179462053467
2013-02-11,15935.85042,17887.100802,0.062390028,0.1924733868
2013-02-12,15962.10042,17932.690761,0.064140028,0.1955127174
2013-02-13,15975.74937,17809.050761,0.065049958,0.187270050733
2013-02-14,15990.449265,17914.072005,0.066029951,0.194271467
